SortID,Order,Family,Species common name,Species scientific name,PhyloName,duplicate,Source,Nest materials raw,Anthropogenic,Number-Mat,BodyMass,str-none,str-scrape,str-platform,str-cup,str-dome,str-ex,loc-artificial,loc-ground-water,loc-cavity,loc-rock,loc-veg,RangeSize,IUCN-category-2020,IUCN-simplified,HFI,Biome-simplified,str-scrapenone,Plastic,WoS-Papers,BrainSize
5696,PASSERIFORMES,Tyrannidae,Yellow-throated Flycatcher,Conopias parvus,Conopias parvus,0,HBW,"grasses, other fibrous materials",0,2,13.1,0,0,0,1,0,0,0,0,1,0,0,304,LC,Least-concerned,6.634152725,tropical-forests,0,0,1,NA
5699,PASSERIFORMES,Tyrannidae,White-bearded Flycatcher,Phelpsia inornata,Phelpsia inornatus,0,HBW,"fine twigs, petioles, leaf tendrils, rootlets, dried leaf skeletons, feathers, horsehair, spider silk, bits of lichen",0,9,13,0,0,0,1,0,0,0,0,0,0,1,38,LC,Least-concerned,NA,grasslands,0,0,0,NA
5700,PASSERIFORMES,Tyrannidae,Variegated Flycatcher,Empidonomus varius,Empidonomus varius,0,HBW,"Smaller twigs, leaf stems, rootlets, leaf ribs",0,4,9.7,0,0,0,0,1,0,0,0,0,0,1,891,LC,Least-concerned,18.44751452,tropical-forests,0,0,1,NA
5701,PASSERIFORMES,Tyrannidae,Crowned Slaty Flycatcher,Griseotyrannus aurantioatrocristatus,Empidonomus aurantioatrocristatus,0,HBW,"smaller twigs (generally c. 2–3 mm thick, occasionally some pieces as large as 10 cm), leaf stems, rootlets, grass",0,5,13,0,0,0,1,0,0,0,0,0,0,1,505,LC,Least-concerned,18.43282045,grasslands,0,0,0,NA
5701,PASSERIFORMES,Tyrannidae,Crowned Slaty Flycatcher,Griseotyrannus aurantioatrocristatus,Empidonomus aurantioatrocristatus,1,NBO,"smaller twigs, leaf stems, rootlets, grass",0,4,13,0,0,0,1,0,0,0,0,0,0,1,505,LC,Least-concerned,18.43282045,grasslands,0,0,NA,NA
5702,PASSERIFORMES,Tyrannidae,Snowy-throated Kingbird,Tyrannus niveigularis,Tyrannus niveigularis,0,HBW,"rather long thin twigs, dead plant stems, lichen, plant fibres, rootlets, hair",0,6,14.21,0,0,0,1,0,0,0,0,0,0,1,16,LC,Least-concerned,18.90699296,tropical-forests,0,0,0,NA
5702,PASSERIFORMES,Tyrannidae,Snowy-throated Kingbird,Tyrannus niveigularis,Tyrannus niveigularis,1,NBO,"twigs, dead plant stems, lichens, fine brown plant fibers, rootlets, hair",0,6,14.21,0,0,0,1,0,0,0,0,0,0,1,16,LC,Least-concerned,18.90699296,tropical-forests,0,0,NA,NA
5704,PASSERIFORMES,Tyrannidae,Tropical Kingbird,Tyrannus melancholicus,Tyrannus melancholicus,0,BoNA,"dead herbaceous vines, rootlets, root stems, tendrils, fine woody twigs, weed stems, dry grasses, horse hair, none",0,9,13.91,0,0,0,1,0,0,0,0,0,0,1,1473,LC,Least-concerned,18.98654333,tropical-forests,0,0,24,NA
5704,PASSERIFORMES,Tyrannidae,Tropical Kingbird,Tyrannus melancholicus,Tyrannus melancholicus,1,HBW,"fine dead vines, grasses, weed stems, leaf tendrils, twigs, finer materials, horsehair",0,7,13.91,0,0,0,1,0,0,0,0,0,0,1,1473,LC,Least-concerned,18.98654333,tropical-forests,0,0,NA,NA
5704,PASSERIFORMES,Tyrannidae,Tropical Kingbird,Tyrannus melancholicus,Tyrannus melancholicus,1,NBO,"dead herbaceous vines, rootlets, root stems, fine woody twigs, weed stems, dry grasses ",0,6,13.91,0,0,0,1,0,0,0,0,0,0,1,1473,LC,Least-concerned,18.98654333,tropical-forests,0,0,NA,NA
5705,PASSERIFORMES,Tyrannidae,Couch's Kingbird,Tyrannus couchii,Tyrannus couchii,1,BoNA,"twigs, fine rootlets, Spanish moss, strips of bark",0,4,17.14,NA,NA,NA,NA,NA,NA,0,0,0,0,1,71,LC,Least-concerned,28.16621018,tropical-forests,NA,0,NA,NA
5705,PASSERIFORMES,Tyrannidae,Couch's Kingbird,Tyrannus couchii,Tyrannus couchii,0,HBW,"twigs, fine rootlets, moss, bark strips, plant down",0,5,17.14,NA,NA,NA,NA,NA,NA,0,0,0,0,1,71,LC,Least-concerned,28.16621018,tropical-forests,NA,0,1,NA
5706,PASSERIFORMES,Tyrannidae,Cassin's Kingbird,Tyrannus vociferans,Tyrannus vociferans,0,BoNA,"small twigs, rootlets, weed stalks, strips of inner bark, other plant fibers, string, rags, dry leaves, feathers, dried blossoms, finer rootlets, fine grasses, fluffy cottonwood seeds",1,13,8,NA,NA,NA,NA,NA,NA,0,0,0,0,1,213,LC,Least-concerned,21.68955931,desert,NA,0,4,NA
5706,PASSERIFORMES,Tyrannidae,Cassin's Kingbird,Tyrannus vociferans,Tyrannus vociferans,1,HBW,"small twigs, rootlets, weed stalks, strips of inner bark, various other plant fibres, bits of string/rags/dry leaves, feathers, dried flower blossoms, finer rootlets, grass, small feathers, fluffy cottonwood (Populus) seeds",1,12,8,NA,NA,NA,NA,NA,NA,0,0,0,0,1,213,LC,Least-concerned,21.68955931,desert,NA,0,NA,NA
